order_id,date,customer_id,category,product_name,quantity,unit_price,discount_pct,revenue,region,channel,payment_method,returned,customer_rating
ORD-10000,2024-11-23,CUST-53,Electronics,Electronics Item 44,1,297.47,0,297.47,Northeast,Organic Search,Apple Pay,0,
ORD-10001,2024-02-17,CUST-280,Clothing,Clothing Item 27,2,67.98,0,135.96,East,Email,Debit Card,0,1.0
ORD-10002,2024-03-22,CUST-173,Beauty,Beauty Item 7,4,41.32,0,165.28,West,Email,Credit Card,0,2.4
ORD-10003,2024-05-15,CUST-186,Electronics,Electronics Item 37,4,235.87,0.11,839.7,East,Referral,Credit Card,0,
ORD-10004,2024-04-26,CUST-187,Home & Garden,Home & Garden Item 11,1,165.8,0.11,147.56,Midwest,Social Media,PayPal,0,3.8
ORD-10005,2024-12-15,CUST-84,Beauty,Beauty Item 30,1,60.14,0,60.14,South,Social Media,PayPal,0,4.4
ORD-10006,2024-01-29,CUST-291,Clothing,Clothing Item 46,1,94.95,0,94.95,Midwest,Paid Ads,Apple Pay,1,4.7
ORD-10007,2024-08-22,CUST-220,Clothing,Clothing Item 38,3,35.07,0.16,88.38,South,Social Media,PayPal,0,1.6
ORD-10008,2024-09-09,CUST-217,Electronics,Electronics Item 39,1,333.33,0,333.33,West,Email,Apple Pay,0,2.9
ORD-10009,2024-05-08,CUST-137,Sports,Sports Item 50,1,111.63,0,111.63,Midwest,Organic Search,Debit Card,0,2.8
ORD-10010,2024-05-14,CUST-260,Sports,Sports Item 39,2,90.92,0,181.84,East,Paid Ads,Debit Card,0,3.2
ORD-10011,2024-09-28,CUST-158,Electronics,Electronics Item 16,5,172.25,0,861.25,West,Paid Ads,Credit Card,0,
ORD-10012,2024-09-05,CUST-282,Electronics,Electronics Item 11,5,304.75,0,1523.75,Midwest,Direct,Apple Pay,0,4.7
ORD-10013,2024-12-19,CUST-232,Clothing,Clothing Item 8,3,58.41,0.11,155.95,East,Paid Ads,Credit Card,0,3.4
ORD-10014,2024-04-27,CUST-17,Sports,Sports Item 22,2,30.86,0.02,60.49,West,Direct,PayPal,1,
ORD-10015,2024-09-05,CUST-243,Clothing,Clothing Item 27,5,34.41,0.17,142.8,East,Organic Search,Credit Card,0,2.4
ORD-10016,2024-07-29,CUST-174,Books,Books Item 7,1,33.24,0.03,32.24,East,Paid Ads,PayPal,0,1.6
ORD-10017,2024-04-03,CUST-282,Home & Garden,Home & Garden Item 7,4,74.97,0.13,260.9,West,Referral,Credit Card,0,4.7
ORD-10018,2024-05-01,CUST-31,Clothing,Clothing Item 11,4,66.21,0,264.84,South,Organic Search,Apple Pay,0,
ORD-10019,2024-08-20,CUST-250,Home & Garden,Home & Garden Item 10,4,141.99,0.24,431.65,East,Social Media,PayPal,0,3.3
ORD-10020,2024-10-04,CUST-272,Electronics,Electronics Item 11,3,92.15,0,276.45,West,Direct,Credit Card,0,1.3
ORD-10021,2024-02-04,CUST-21,Beauty,Beauty Item 40,2,45.76,0.17,75.96,West,Email,Debit Card,0,1.8
ORD-10022,2024-06-09,CUST-38,Clothing,Clothing Item 1,3,58.12,0.09,158.67,South,Direct,Credit Card,0,
ORD-10023,2024-04-19,CUST-126,Sports,Sports Item 24,3,45.89,0,137.67,Midwest,Paid Ads,Apple Pay,1,3.8
ORD-10024,2024-11-09,CUST-69,Beauty,Beauty Item 17,5,18.05,0.09,82.13,West,Organic Search,PayPal,0,
ORD-10025,2024-11-05,CUST-27,Clothing,Clothing Item 6,3,40.82,0.08,112.66,South,Social Media,Credit Card,0,
ORD-10026,2024-03-07,CUST-288,Beauty,Beauty Item 1,3,28.81,0,86.43,West,Organic Search,PayPal,0,4.3
ORD-10027,2024-10-25,CUST-21,Sports,Sports Item 23,2,81.57,0,163.14,East,Referral,PayPal,0,2.4
ORD-10028,2024-10-13,CUST-91,Books,Books Item 27,5,35.98,0.07,167.31,West,Paid Ads,Debit Card,0,2.6
ORD-10029,2024-12-08,CUST-241,Beauty,Beauty Item 15,2,36.18,0.03,70.19,East,Email,Debit Card,0,4.2
ORD-10030,2024-04-26,CUST-36,Clothing,Clothing Item 50,1,81.9,0,81.9,Midwest,Social Media,Apple Pay,0,4.4
ORD-10031,2024-06-18,CUST-136,Electronics,Electronics Item 3,1,338.11,0,338.11,West,Direct,Apple Pay,0,4.1
ORD-10032,2024-08-11,CUST-224,Sports,Sports Item 1,5,43.88,0.06,206.24,Northeast,Direct,PayPal,1,1.3
ORD-10033,2024-12-06,CUST-159,Home & Garden,Home & Garden Item 43,5,84.59,0.22,329.9,South,Social Media,Apple Pay,0,3.2
ORD-10034,2024-04-08,CUST-281,Books,Books Item 1,4,33.38,0.18,109.49,Midwest,Social Media,PayPal,0,3.3
ORD-10035,2024-12-01,CUST-87,Home & Garden,Home & Garden Item 43,4,103.77,0.15,352.82,West,Social Media,Debit Card,0,
ORD-10036,2024-04-30,CUST-126,Beauty,Beauty Item 31,3,33.22,0,99.66,Northeast,Organic Search,Apple Pay,1,3.5
ORD-10037,2024-04-09,CUST-3,Beauty,Beauty Item 49,4,52.11,0,208.44,West,Email,PayPal,0,
ORD-10038,2024-12-22,CUST-234,Sports,Sports Item 9,4,36.03,0,144.12,South,Referral,Debit Card,0,4.6
ORD-10039,2024-11-09,CUST-244,Beauty,Beauty Item 29,5,47.37,0.13,206.06,Midwest,Paid Ads,Debit Card,0,3.1
ORD-10040,2024-11-16,CUST-277,Clothing,Clothing Item 6,3,62.09,0.07,173.23,East,Paid Ads,PayPal,0,1.6
ORD-10041,2024-04-19,CUST-106,Electronics,Electronics Item 27,4,197.28,0,789.12,South,Direct,Credit Card,0,4.1
ORD-10042,2024-07-13,CUST-215,Books,Books Item 35,1,42.94,0,42.94,Northeast,Direct,PayPal,0,2.1
ORD-10043,2024-09-05,CUST-240,Electronics,Electronics Item 9,4,175.84,0.12,618.96,Northeast,Direct,Credit Card,0,3.4
ORD-10044,2024-12-05,CUST-26,Electronics,Electronics Item 17,1,267.82,0,267.82,South,Social Media,PayPal,0,2.4
ORD-10045,2024-07-13,CUST-277,Home & Garden,Home & Garden Item 4,4,75.34,0,301.36,Midwest,Paid Ads,Credit Card,1,3.6
ORD-10046,2024-01-16,CUST-59,Clothing,Clothing Item 37,2,98.03,0.07,182.34,East,Email,Debit Card,0,1.7
ORD-10047,2024-11-06,CUST-297,Beauty,Beauty Item 2,1,71.95,0,71.95,Midwest,Direct,Apple Pay,0,3.9
ORD-10048,2024-02-08,CUST-62,Sports,Sports Item 37,2,42.23,0.26,62.5,West,Social Media,Apple Pay,0,1.3
ORD-10049,2024-11-27,CUST-236,Home & Garden,Home & Garden Item 46,1,164.94,0.03,159.99,East,Email,PayPal,0,4.9
ORD-10050,2024-05-18,CUST-138,Sports,Sports Item 21,5,122.96,0,614.8,East,Organic Search,Debit Card,0,2.0
ORD-10051,2024-08-25,CUST-167,Sports,Sports Item 12,5,110.18,0,550.9,South,Paid Ads,Debit Card,0,2.4
ORD-10052,2024-11-01,CUST-124,Beauty,Beauty Item 47,3,56.41,0,169.23,South,Email,PayPal,0,3.6
ORD-10053,2024-09-08,CUST-157,Books,Books Item 43,1,12.35,0,12.35,Northeast,Social Media,Apple Pay,0,2.4
ORD-10054,2024-10-08,CUST-62,Home & Garden,Home & Garden Item 47,3,142.93,0,428.79,East,Social Media,Credit Card,0,4.8
ORD-10055,2024-12-19,CUST-269,Clothing,Clothing Item 39,2,41.97,0,83.94,Midwest,Organic Search,PayPal,0,
ORD-10056,2024-07-03,CUST-28,Clothing,Clothing Item 36,3,23.77,0,71.31,Midwest,Referral,PayPal,0,4.0
ORD-10057,2024-02-22,CUST-27,Electronics,Electronics Item 17,5,160.3,0,801.5,South,Organic Search,Credit Card,0,1.3
ORD-10058,2024-11-18,CUST-128,Beauty,Beauty Item 8,1,28.12,0.28,20.25,Northeast,Email,PayPal,0,2.5
ORD-10059,2024-08-14,CUST-51,Home & Garden,Home & Garden Item 49,5,186.0,0,930.0,East,Referral,PayPal,0,
ORD-10060,2024-02-11,CUST-231,Clothing,Clothing Item 45,2,38.14,0,76.28,Northeast,Email,Debit Card,1,
ORD-10061,2024-05-27,CUST-136,Beauty,Beauty Item 41,3,66.71,0,200.13,Northeast,Referral,PayPal,0,3.2
ORD-10062,2024-11-27,CUST-158,Clothing,Clothing Item 39,3,96.9,0,290.7,Northeast,Social Media,Apple Pay,0,
ORD-10063,2024-12-18,CUST-42,Home & Garden,Home & Garden Item 39,4,178.9,0,715.6,West,Email,Debit Card,0,1.1
ORD-10064,2024-04-27,CUST-138,Beauty,Beauty Item 37,5,58.6,0,293.0,West,Paid Ads,Apple Pay,0,2.8
ORD-10065,2024-05-22,CUST-210,Clothing,Clothing Item 22,5,61.73,0.29,219.14,Midwest,Referral,Credit Card,0,2.3
ORD-10066,2024-12-21,CUST-19,Books,Books Item 30,3,32.85,0,98.55,West,Social Media,Debit Card,0,4.9
ORD-10067,2024-07-25,CUST-97,Sports,Sports Item 34,1,108.92,0,108.92,Midwest,Direct,Apple Pay,0,4.0
ORD-10068,2024-04-14,CUST-249,Home & Garden,Home & Garden Item 8,5,57.15,0,285.75,West,Referral,PayPal,0,2.2
ORD-10069,2024-01-08,CUST-61,Sports,Sports Item 42,4,41.19,0.27,120.27,East,Email,Debit Card,0,2.1
ORD-10070,2024-09-04,CUST-261,Books,Books Item 48,2,25.44,0,50.88,East,Organic Search,Debit Card,0,4.4
ORD-10071,2024-06-23,CUST-297,Sports,Sports Item 43,3,128.47,0,385.41,South,Paid Ads,Apple Pay,0,2.4
ORD-10072,2024-10-09,CUST-123,Sports,Sports Item 37,4,84.64,0,338.56,South,Paid Ads,Apple Pay,0,
ORD-10073,2024-08-30,CUST-254,Beauty,Beauty Item 3,4,44.53,0.25,133.59,East,Direct,Debit Card,0,4.5
ORD-10074,2024-08-13,CUST-80,Electronics,Electronics Item 5,5,348.13,0,1740.65,South,Social Media,Debit Card,0,2.6
ORD-10075,2024-02-11,CUST-250,Home & Garden,Home & Garden Item 35,5,94.5,0,472.5,West,Direct,Credit Card,0,
ORD-10076,2024-12-16,CUST-52,Home & Garden,Home & Garden Item 29,2,149.51,0,299.02,East,Referral,Debit Card,0,1.2
ORD-10077,2024-01-29,CUST-290,Home & Garden,Home & Garden Item 44,3,93.73,0,281.19,East,Paid Ads,PayPal,0,
ORD-10078,2024-07-14,CUST-131,Sports,Sports Item 30,2,89.72,0,179.44,Midwest,Referral,Credit Card,0,2.9
ORD-10079,2024-05-27,CUST-154,Beauty,Beauty Item 41,5,28.56,0,142.8,South,Referral,Debit Card,0,2.2
ORD-10080,2024-07-15,CUST-152,Books,Books Item 2,1,17.54,0,17.54,South,Social Media,Credit Card,0,3.7
ORD-10081,2024-01-26,CUST-181,Sports,Sports Item 15,4,129.94,0.23,400.22,East,Direct,Debit Card,0,3.9
ORD-10082,2024-12-03,CUST-226,Beauty,Beauty Item 3,2,61.48,0.19,99.6,Northeast,Social Media,PayPal,0,
ORD-10083,2024-05-31,CUST-188,Home & Garden,Home & Garden Item 34,4,63.85,0,255.4,Northeast,Social Media,PayPal,0,
ORD-10084,2024-09-03,CUST-116,Home & Garden,Home & Garden Item 44,3,158.13,0,474.39,South,Direct,Debit Card,1,
ORD-10085,2024-07-21,CUST-135,Electronics,Electronics Item 38,3,235.97,0,707.91,South,Referral,Debit Card,0,
ORD-10086,2024-04-29,CUST-33,Books,Books Item 41,1,31.3,0.1,28.17,South,Referral,Debit Card,0,1.5
ORD-10087,2024-01-24,CUST-276,Electronics,Electronics Item 9,3,373.78,0,1121.34,South,Email,Debit Card,0,4.0
ORD-10088,2024-10-03,CUST-51,Books,Books Item 32,5,35.72,0,178.6,Northeast,Email,Debit Card,0,
ORD-10089,2024-07-08,CUST-189,Clothing,Clothing Item 35,4,62.52,0,250.08,Midwest,Organic Search,Apple Pay,0,
ORD-10090,2024-03-03,CUST-171,Books,Books Item 16,1,32.86,0.18,26.95,East,Direct,PayPal,1,
ORD-10091,2024-10-10,CUST-2,Clothing,Clothing Item 18,5,41.94,0.1,188.73,East,Paid Ads,Debit Card,0,1.4
ORD-10092,2024-01-14,CUST-136,Clothing,Clothing Item 4,1,54.74,0.18,44.89,East,Referral,Apple Pay,1,4.0
ORD-10093,2024-08-31,CUST-23,Books,Books Item 47,3,27.48,0,82.44,Northeast,Social Media,Apple Pay,0,1.1
ORD-10094,2024-09-02,CUST-38,Books,Books Item 6,4,33.7,0,134.8,Midwest,Direct,PayPal,0,
ORD-10095,2024-05-20,CUST-272,Sports,Sports Item 19,5,95.8,0,479.0,South,Direct,Apple Pay,0,
ORD-10096,2024-12-25,CUST-117,Electronics,Electronics Item 27,5,291.25,0,1456.25,Midwest,Email,Apple Pay,0,1.4
ORD-10097,2024-08-06,CUST-35,Home & Garden,Home & Garden Item 6,3,93.65,0,280.95,West,Organic Search,Apple Pay,0,
ORD-10098,2024-07-09,CUST-211,Clothing,Clothing Item 23,5,27.9,0.17,115.78,South,Referral,Credit Card,0,3.4
ORD-10099,2024-06-29,CUST-56,Electronics,Electronics Item 23,5,227.22,0,1136.1,Northeast,Social Media,Credit Card,0,3.3
ORD-10100,2024-08-07,CUST-137,Sports,Sports Item 2,5,103.63,0.01,512.97,East,Social Media,Debit Card,0,2.4
ORD-10101,2024-04-02,CUST-16,Clothing,Clothing Item 6,5,81.66,0,408.3,Northeast,Paid Ads,Apple Pay,0,2.4
